model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
VideoCLIP-XL.bin,msrvtt,test,fp32,278.8261,6.7441,278.8261,6.7441,1000,0.395,0.633,0.728,0.395,0.5223,0.5526,0.395,0.4855,0.4978
VideoCLIP-XL.bin,msvd,test,fp32,537.463,548.4441,272.8239,6.7854,80827,0.3534,0.6169,0.7175,0.3534,0.4926,0.5253,0.3534,0.4513,0.4649
