model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
imagebind,audiocaps,test,fp32,16.2883,27.0486,18.4466,6.1321,4411,0.08,0.2671,0.3985,0.08,0.1742,0.2163,0.08,0.1438,0.1609
imagebind,clotho,test,fp32,18.9555,32.5676,18.1392,6.233,5225,0.049,0.1617,0.2507,0.049,0.1065,0.1352,0.049,0.0884,0.1002
imagebind,flickr30k,test,fp32,48.0092,31.4138,48.0092,6.2828,5000,0.7728,0.9386,0.9646,0.7728,0.8659,0.8745,0.7728,0.8413,0.8449
imagebind,flickr8k,test,fp32,48.7669,31.477,48.7669,6.2954,5000,0.7362,0.9288,0.9694,0.7362,0.8433,0.8566,0.7362,0.8144,0.82
imagebind,coco,test,fp32,1206.1893,156.7042,48.2283,6.2657,24855,0.4931,0.6064,0.6064,0.4935,0.5647,0.5647,0.4935,0.5503,0.5503
imagebind,msvd,test,fp32,1341.025,469.5492,680.7233,5.8093,80827,0.2876,0.5398,0.6476,0.2876,0.4208,0.4558,0.2876,0.3813,0.3958
imagebind,msrvtt,test,fp32,710.3049,5.9011,710.3049,5.9011,1000,0.364,0.589,0.697,0.364,0.4829,0.5177,0.364,0.4477,0.462
