model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
m3e-base,t2retrieval,test,fp32,1768.1362,1768.1362,12.503,12.503,22812,0.2236,0.5832,0.718,0.7885,0.7177,0.7208,0.7885,0.8318,0.8355
m3e-base,mmarcoretrieval,test,fp32,476.4983,476.4983,4.1874,4.1874,6980,0.492,0.7109,0.7773,0.5097,0.6163,0.6384,0.5097,0.5904,0.5989
m3e-base,duretrieval,test,fp32,1387.6942,1387.6942,13.6047,13.6047,2000,0.1993,0.6051,0.7598,0.7295,0.6893,0.7258,0.7295,0.8101,0.8133
