model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
languagebind,audiocaps,test,fp32,61.2842,8.5264,69.4046,1.933,4411,0.1215,0.3661,0.5364,0.1215,0.2463,0.3014,0.1215,0.207,0.2297
languagebind,clotho,test,fp32,71.8446,10.0906,68.7508,1.9312,5225,0.1254,0.3426,0.4662,0.1254,0.2366,0.2767,0.1254,0.2017,0.2183
languagebind,flickr8k,test,fp32,24.6212,9.4023,24.6212,1.8805,5000,0.693,0.9066,0.9572,0.693,0.8101,0.8265,0.693,0.7777,0.7845
languagebind,flickr30k,test,fp32,24.7295,9.454,24.7295,1.8908,5000,0.7338,0.9146,0.9558,0.7338,0.8349,0.8483,0.7338,0.8079,0.8136
languagebind,coco,test,fp32,595.8168,48.4373,23.8231,1.9367,24855,0.4607,0.5727,0.5727,0.461,0.5315,0.5315,0.461,0.5172,0.5172
languagebind,msvd,test,fp32,470.8411,167.606,239.0056,2.0736,80827,0.3649,0.6322,0.7337,0.3649,0.5063,0.5393,0.3649,0.4645,0.4782
languagebind,msrvtt,test,fp32,244.5982,1.9041,244.5982,1.9041,1000,0.43,0.662,0.762,0.43,0.5527,0.5847,0.43,0.5164,0.5294
