model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
xclip-base-patch32,msvd,test,fp32,19.6776,93.0938,9.9886,1.1518,80827,0.0656,0.1659,0.2269,0.0656,0.1173,0.1369,0.0656,0.1012,0.1093
xclip-base-patch32,msrvtt,test,fp32,11.7904,1.2298,11.7904,1.2298,1000,0.056,0.139,0.179,0.056,0.099,0.1121,0.056,0.0858,0.0913
