model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
blip-itm-base-coco,flickr8k,test,fp32,16.0764,3.8414,16.0764,0.7683,5000,0.7376,0.935,0.9702,0.7376,0.8471,0.8585,0.7376,0.8174,0.8221
blip-itm-base-coco,flickr30k,test,fp32,15.9886,4.2632,15.9886,0.8526,5000,0.7802,0.9458,0.9724,0.7802,0.8731,0.8817,0.7802,0.8484,0.852
blip-itm-base-coco,coco,test,fp32,410.2075,19.0017,16.4017,0.7598,24855,0.5598,0.6834,0.6834,0.5602,0.6379,0.6379,0.5602,0.6221,0.6221
