model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
gte-base-zh,t2retrieval,test,fp32,1742.9972,1742.9972,12.3252,12.3252,22812,0.269,0.684,0.8203,0.8898,0.8308,0.8308,0.8898,0.9149,0.9168
gte-base-zh,mmarcoretrieval,test,fp32,469.7479,469.7479,4.1281,4.1281,6980,0.651,0.8411,0.8842,0.6736,0.7626,0.777,0.6736,0.7413,0.7468
gte-base-zh,duretrieval,test,fp32,1363.0942,1363.0942,13.3635,13.3635,2000,0.2467,0.7043,0.8572,0.865,0.8055,0.8363,0.865,0.9066,0.9078
