model,dataset,type,mode,total_primary_encoding_time(s),total_text_encoding_time(s),avg_primary_encoding_time(ms),avg_text_encoding_time(ms),num_queries,recall@1,recall@5,recall@10,ndcg@1,ndcg@5,ndcg@10,mrr@1,mrr@5,mrr@10
clip4clip-webvid150k,msvd,test,fp32,7.2293,120.3104,3.6697,1.4885,80827,0.2788,0.536,0.6464,0.2788,0.4141,0.45,0.2788,0.3737,0.3886
clip4clip-webvid150k,msrvtt,test,fp32,5.187,1.2699,5.187,1.2699,1000,0.349,0.584,0.686,0.349,0.4738,0.5068,0.349,0.4372,0.4508
